"RANK_1YR","COMPOUND","CLASS","ABBREV","TYPE","EPEST_HIGH_KG_1YR","EPEST_HIGH_KG_3YR_AVG","EPEST_HIGH_KG_5YR_AVG","RANK_1YR_WA","RANK_1YR_OR","RANK_1YR_ID"
1,"METAM","Fumigant","FUM","Fumigant",17641358,17105484,15766434,1,1,2
2,"METAM POTASSIUM","Fumigant","FUM","Fumigant",9919151,6214504,5370421,4,7,1
3,"DICHLOROPROPENE","Fumigant","FUM","Fumigant",7814442,8173642,8385906,2,2,5
4,"PETROLEUM OIL","Other Insecticide/Miticide","INS","Insecticide",5927510,7202551,6524079,3,5,31
5,"CHLOROPICRIN","Fumigant","FUM","Fumigant",4670658,1909295,1222471,6,3,3
6,"GLYPHOSATE","Glycine/Phosphonate","GLY","Herbicide",2494939,2475098,2381611,7,6,6
7,"SULFURIC ACID","Inorganic/Mineral","INO","Other",2475480,5192844,5473738,11,9,4
8,"BACILLUS AMYLOLIQUEFACIEN","Biological/Microbial","BIO","Biological",2414155,1352449,854675,8,4,7
9,"SULFUR","Inorganic/Mineral","INO","Fungicide",2200223,1876399,1811938,5,8,24
10,"CALCIUM POLYSULFIDE","Inorganic/Mineral","INO","Fungicide",1165336,1059340,928334,9,11,61
11,"KAOLIN CLAY","Inorganic/Mineral","INO","Other",942600,1626351,1253148,10,25,93
12,"2,4-D","Phenoxy","PHX","Herbicide",693525,609818,594210,12,12,8
13,"EPTC","Thiocarbamate","TC","Herbicide",494327,530335,565282,14,21,9
14,"PARAQUAT","Bipyridylium","BIP","Herbicide",423478,335664,284070,15,10,28
15,"COPPER","Inorganic/Mineral","INO","Fungicide",368382,278903,227944,13,20,92
16,"MANCOZEB","Dithiocarbamate","DTC","Fungicide",366732,447175,534308,16,13,17
17,"CHLOROTHALONIL","Other Fungicide","FUN","Fungicide",314079,335039,310397,17,22,11
18,"PENDIMETHALIN","Dinitroaniline","DNA","Herbicide",307838,327621,299146,24,24,10
19,"MCPA","Phenoxy","PHX","Herbicide",307476,336751,333934,19,17,13
20,"BROMOXYNIL","Other Herbicide","HRB","Herbicide",244238,241215,263335,18,27,19
21,"METRIBUZIN","Triazine","TRZ","Herbicide",240846,226849,222835,26,33,12
22,"METOLACHLOR & METOLACHLOR-S","Chloroacetanilide","CAA","Herbicide",239440,223407,241410,22,26,14
23,"METOLACHLOR-S","Chloroacetanilide","CAA","Herbicide",219422,200875,210207,23,28,18
24,"CHLORPYRIFOS","Organophosphate","OP","Insecticide",193991,231947,237271,20,31,22
25,"BURKHOLDERIA SPP","Biological/Microbial","BIO","Biological",179237,156890,118128,25,16,32
26,"DIMETHENAMID & DIMETHENAMID-P","Chloroacetanilide","CAA","Herbicide",173528,182968,155629,31,43,15
27,"DIMETHENAMID-P","Chloroacetanilide","CAA","Herbicide",173528,151165,136548,32,44,16
28,"ATRAZINE","Triazine","TRZ","Herbicide",168123,229365,167913,30,19,25
29,"GLUFOSINATE","Glycine/Phosphonate","GLY","Herbicide",163446,86955,75677,21,23,46
30,"ETHOPROPHOS","Organophosphate","OP","Insecticide",129193,292700,190837,47,14,NA
31,"TRIFLURALIN","Dinitroaniline","DNA","Herbicide",124501,104364,122152,59,15,29
32,"PROPICONAZOLE","DMI Fungicide (Triazole/Imidazole)","DMI","Fungicide",118595,117376,98097,28,37,44
33,"METHOMYL","Carbamate","CB","Insecticide",104964,112804,100724,44,36,26
34,"OXAMYL","Carbamate","CB","Insecticide",104655,48542,109821,27,39,50
35,"FLUROXYPYR","Other Herbicide","HRB","Herbicide",98586,98368,92624,41,52,21
36,"THIOPHANATE-METHYL","Other Fungicide","FUN","Fungicide",93678,117090,142895,34,41,43
37,"DICAMBA","Other Herbicide","HRB","Herbicide",84414,87037,75191,48,35,33
38,"COPPER HYDROXIDE","Inorganic/Mineral","INO","Fungicide",83518,102668,92226,33,40,81
39,"COPPER SULFATE","Inorganic/Mineral","INO","Fungicide",82796,112690,102101,38,30,132
40,"MCPB","Phenoxy","PHX","Herbicide",80136,27975,18809,29,71,74
41,"MALEIC HYDRAZIDE","Plant Growth Regulator","PGR","Plant Growth Regulator",78675,64027,73626,53,164,23
42,"ACETOCHLOR","Chloroacetanilide","CAA","Herbicide",75429,37265,37002,NA,110,20
43,"AZOXYSTROBIN","Strobilurin (QoI)","QOI","Fungicide",73373,66847,58924,60,34,36
44,"DIURON","Other Herbicide","HRB","Herbicide",70007,147970,146415,61,29,47
45,"DCPA","Other Herbicide","HRB","Herbicide",66878,107589,100887,45,38,54
46,"DIQUAT","Bipyridylium","BIP","Herbicide",65262,47886,46276,46,51,35
47,"BACILLUS THURINGIENSIS","Biological/Microbial","BIO","Biological",61011,41460,32064,35,79,124
48,"BENTAZONE","Other Herbicide","HRB","Herbicide",60959,58336,68015,39,60,59
49,"DIMETHOATE","Organophosphate","OP","Insecticide",60301,100003,107431,40,47,56
50,"PHOSPHORIC ACID","Inorganic/Mineral","INO","Other",60258,82441,160529,63,NA,27
51,"BOSCALID","SDHI","SDH","Fungicide",55550,65573,68025,51,54,37
52,"FLUFENACET","Chloroacetanilide","CAA","Herbicide",55418,43651,40381,175,18,NA
53,"POTASSIUM BICARBONATE","Inorganic/Mineral","INO","Fungicide",55213,71542,53224,36,115,179
54,"PYRACLOSTROBIN","Strobilurin (QoI)","QOI","Fungicide",54823,61164,63140,52,48,41
55,"CARBARYL","Carbamate","CB","Insecticide",53808,46490,67043,37,99,140
56,"CLOPYRALID","Other Herbicide","HRB","Herbicide",52827,43819,44439,49,42,57
57,"ETHALFLURALIN","Dinitroaniline","DNA","Herbicide",49241,82853,82529,55,88,34
58,"COPPER OXYCHLORIDE","Inorganic/Mineral","INO","Fungicide",47644,35089,25864,42,46,90
59,"PYRIMETHANIL","Other Fungicide","FUN","Fungicide",35836,33163,31560,137,75,30
60,"LINURON","Other Herbicide","HRB","Herbicide",34697,30862,21970,43,180,103
61,"CLETHODIM","Other Herbicide","HRB","Herbicide",34429,28252,25201,66,59,52
62,"HEXAZINONE","Triazine","TRZ","Herbicide",31592,43583,42171,88,107,39
63,"ZIRAM","Dithiocarbamate","DTC","Fungicide",31569,51545,49363,192,32,NA
64,"PROPARGITE","Other Insecticide/Miticide","INS","Insecticide",31403,20278,41996,80,91,42
65,"TRI-ALLATE","Thiocarbamate","TC","Herbicide",30685,65673,59743,67,129,49
66,"TRIFLUMIZOLE","DMI Fungicide (Triazole/Imidazole)","DMI","Fungicide",30532,32235,32986,50,62,142
67,"FLUAZINAM","Other Fungicide","FUN","Fungicide",30363,23031,25550,54,80,73
68,"FLUTOLANIL","SDHI","SDH","Fungicide",30179,28435,29582,56,65,69
69,"MALATHION","Organophosphate","OP","Insecticide",29675,36132,46031,69,45,80
70,"SIMAZINE","Triazine","TRZ","Herbicide",29182,16583,27004,58,49,NA
71,"MEFENOXAM","Other Fungicide","FUN","Fungicide",29041,26749,23764,62,76,62
72,"IMIDACLOPRID","Neonicotinoid","NEO","Insecticide",28169,31886,40009,82,67,48
73,"FLUOPYRAM","SDHI","SDH","Fungicide",27322,22151,17862,78,63,53
74,"PINOXADEN","Other Herbicide","HRB","Herbicide",26959,24070,22980,99,57,51
75,"PENTHIOPYRAD","SDHI","SDH","Fungicide",24773,25305,24453,57,78,119
76,"HYDROGEN PEROXIDE","Inorganic/Mineral","INO","Fungicide",24484,10606,17266,153,163,38
77,"TRICLOPYR","Other Herbicide","HRB","Herbicide",24464,23884,23554,65,50,159
78,"FLUXAPYROXAD","SDHI","SDH","Fungicide",22396,22628,16964,72,83,60
79,"QUINTOZENE","Other Fungicide","FUN","Fungicide",21783,25116,32727,NA,NA,40
80,"METOLACHLOR","Chloroacetanilide","CAA","Herbicide",20019,22533,31203,NA,111,45
